company,linkedin_url,time cost,msg,success
"Complex Networking Solutions, Cloud, SAAS, Professional Services, Wireless Solutions",,3223,no available result,false
mPulse Mobile,https://www.linkedin.com/company/mpulse-mobile,3231,,true
Rausch Coleman Homes,https://www.linkedin.com/company/rausch-coleman-homes,3239,,true
HAMPTON CITY SCHOOLS,https://www.linkedin.com/company/hampton-city-schools,3246,,true
MCDONALD EYE ASSOCIATES,https://www.linkedin.com/company/mcdonald-eye-associates,3254,,true
Telnet,https://www.linkedin.com/company/telnet_2,3273,,true
VISTA Technology Services,https://www.linkedin.com/company/vista-technology-services-inc,3280,,true
Stowe Group,https://www.linkedin.com/company/the-stowe-group,3287,,true
GE Healthcare,https://www.linkedin.com/company/gehealthcare,3296,,true
Sentillion,https://www.linkedin.com/company/sentrillion,3307,,true
"ChannelWave Software, Inc",https://www.linkedin.com/company/channelwave,3315,,true
FORT SMITH RACQUET CLUB,,3323,no available result,false
GP Strategies Corporation,https://www.linkedin.com/company/gp-strategies-corporation,3331,,true
Hyatt House,https://www.linkedin.com/company/hyatt-house,3339,,true
Hampton Inn DC Convention Center Hotel,,3347,no available result,false
KIM COLLECTION,,3354,no available result,false
Brix Fitness,,3372,no available result,false
AstraZeneca,https://www.linkedin.com/company/astrazeneca,3381,,true
Forest Laboratories,,3394,no available result,false
"G&K Services, Inc",https://www.linkedin.com/company/g-design,3401,,true
Freelance work,,3414,no available result,false
Inbound Central,,3426,no available result,false
ADECCO GROUP NORTH AMERICA,,3439,no available result,false
Alpha Kappa Psi Business Fraternity,https://www.linkedin.com/company/alpha-kappa-psi,3447,,true
ArdentMC,https://www.linkedin.com/company/ardent-mc,3455,,true
Intervise Consultants,https://www.linkedin.com/company/intervise-consultants-inc,3463,,true
DoubleTree by Hilton Laurel,,3475,no available result,false
Residence Inn Tysons's Corner,https://www.linkedin.com/company/residence-inn-by-marriott-tysons-corner,3482,,true
Integrated Library Systems,,3489,no available result,false
"Digex, Incorporated",,3496,no available result,false
Better Business Bureau serving Greater Maryland,https://www.linkedin.com/company/better-business-bureau-serving-central-virginia,3503,,true
